doc_id	url
8033544	https://www.edx.org/course/introduction-to-software-programming-and-databases-course-v1-ibm-cs0151en-3t2022?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033546	https://www.edx.org/course/introduction-to-cybersecurity-course-v1-ibm-cs0221en-3t2022?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033547	https://www.edx.org/course/technical-support-case-studies-capstone-course-v1-ibm-cc0340en-3t2022?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033550	https://www.edx.org/course/devops-capstone-project-course-v1-ibm-cd0285en-3t2022?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033607	https://www.edx.org/course/introduction-to-sql-and-relational-databases-course-v1-upvalenciax-sql-en101x-3t2022?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033644	https://www.edx.org/course/ethical-hacking-essentials-ehe-course-v1-ec-council-ehe-112-52-3t2022?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033660	https://www.edx.org/course/project-management-principles-course-v1-usmx-pmprep01-1t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033661	https://www.edx.org/course/gaining-business-acumen-for-project-managers-course-v1-usmx-pmprep04-2t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033666	https://www.edx.org/course/determining-ways-of-working-for-technical-project-management-course-v1-usmx-pmprep03-2t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033688	https://www.edx.org/course/time-management-for-beginners-course-v1-state-bank-of-india-sbil0019x-1t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033691	https://www.edx.org/course/sql-for-everyone-course-v1-snhux-snhuxbi1-1-1t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033692	https://www.edx.org/course/sql-for-business-intelligence-course-v1-snhux-snhuxbi1-2-1t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8033759	https://www.edx.org/course/the-role-of-empathy-in-customer-experience-course-v1-state-bank-of-india-sbil0022x-1t2023?utm_source=smitkumarc-risesmart&utm_medium=affiliate_partner
8035683	https://udemy.com/course/draft/2605534/
8035701	https://udemy.com/course/digital-social-media-customer-service-certificate-course/
8035853	https://udemy.com/course/1z0-1093-21-oracle-cloud-database-services-2021-specialist-w/
8035999	https://udemy.com/course/java-programming-project-using-jsp-jdbc-servlets/
8036126	https://udemy.com/course/a-professional-introduction-to-scrum/
8036538	https://udemy.com/course/advanced-scripting-tool-making-using-windows-powershell/
8036619	https://udemy.com/course/2021-scrum-for-product-owner-and-scrum-master-course/
8036658	https://udemy.com/course/crash-course-on-agile-scrum/
8036663	https://udemy.com/course/scrum-overview/
8037029	https://udemy.com/course/ansible-for-linux-and-unix/
8037729	https://udemy.com/course/airline-customer-service-course-aviation-industry/
8037755	https://udemy.com/course/aws-technical-essentials/
8037857	https://udemy.com/course/aws-security-management-aws-security-specialist-course/
8037898	https://udemy.com/course/mastering-azure-virtual-desktop-avd-advanced-training/
